Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
1GB AES Pattern Search,PoW,11448949.0,81962100
SHA-256,PoW/PoS,3669691.84494672,22000000
X11,PoW/PoS,10996318099.0,26550000000
Scrypt,PoW,69836100.0,84000000
SHA-256,PoW/PoS,5129014.0,10500000
SHA-256,PoW,21739971929.0,21626280000 
NIST5,PoW/PoS,10069449031.9252,0
Scrypt,PoW/PoS,8998743.2411911,42000000
Scrypt,PoS,40477042.0,221052632
X11,PoW,45110324.0,84000000
Dagger,PoW,5702048.0,30000000
Scrypt,PoW,636462.55983338,168351300
X11GOST,PoW,17263355.0,24000000
X11,PoW/PoS,10407269.788186802,384000000
Scrypt,PoS,36971236046.8073, 99000000000
SHA-256,PoW/PoS,4377081.60953993,40000000
Scrypt,PoC,2147483647.0,2147483647
PoS,PoS,20000000.0,20000000
Scrypt,PoW,6570807.65677618,20000000
X11,PoW,13654082.4987998,25000000
X11,PoW/PoS,134554941.15118998,75000000
SHA-256,PoW/PoS,1195525.0,222725000
SHA-256,PoW/PoS,16662820.0,525000000
NIST5,PoW/PoS,83450403.0,90000000
X11,PoW/PoS,24387724.5010828,139000000
Scrypt,PoW,616448.0,616448
POS 3.0,PoS,38589808.6658096,33500000
Scrypt,PoW/PoS,813092338.575672,2000000000
Scrypt,PoW/PoS,4526324.0,44333333
Scrypt,PoW/PoS,100000000.0,100000000
X13,PoS,5000000.0,200000000
X11,PoW,1377917.0,25000000
X11,PoS,657000000.0,657000000
Equihash,dPoW/PoW,115898131.0,200000000
X11,PoW/PoS,15563873.0,50000000
Scrypt,PoW/PoS,43165500.0,90000000
CryptoNight,PoW,7822432.72439746,10000000
SHA-256,PoW/PoS,595429.0,21000000
SHA-256,PoW,6243840.0,9736000
X11,PoW/PoS,657636.34549789,3000000
Scrypt,PoW/PoS,2581970.0,21000000
Multiple,PoW,1000000000.0,1200000000
Scrypt,PoW/PoS,1939889.0,0
Scrypt,PoW,116845228.0,200000000
Scrypt,PoS,169598616.0,0
SHA-256,PoW,9106714.0,10638298
Scrypt,PoW/PoW,665200057.0,3100000000
Scrypt,PoW,11119200.0,30000000
SHA-256D,PoW/PoS,19577787259.0,20000000000
PoS,PoS,74033806.79496829,74000000
Scrypt,PoW/PoS,33522957.0,0
X11,PoW/PoS,264678458.28861898,1500000000
Lyra2Z,PoW,7568281.24956067,21400000
PoS,PoS,148716816.0,39999898
X13,PoS,2500124.0,2500124
X14,PoW/PoS,100000000.0,100000000
PoS,PoS,17818682.1654,301000000
SHA-256D,PoW/PoS,1082162635.5368302,7506000000
Ethash,PoW,26205539.0,26205539
Equihash,PoW,5613550.0,21000000
DPoS,DPoS,108202084.0,125000000
X11,PoW/PoS,18342813.0,30000000
Scrypt,PoW,196297971.0,10000000000
X11,PoW,824000000.0,500000000
X13,PoW/PoS,92192822723.0,850000000
X11,PoW/PoS,3853326.77707314,3853326.77707314
PoS,PoS,50000000.0,50000000
Scrypt,PoW/PoS,17089600.0,38540000 
Scrypt,PoW/PoS,2449577.41533168,42000000
X11,PoW,61364813.0,228000000
PoS,PoS,20000000.0,20000000
X11,PoW/PoS,6069482.07721352,60000000
SHA-256,PoW/PoS,12416554.0,20000000
Scrypt,PoW/PoS,20244023.640728,33000000
X11,TPoS,75590369.0,76500000
Scrypt,PoW/PoS,11080722.3769581,28000000
Scrypt,PoW/PoS,10914418.0,650659833
X11,PoW/PoS,814671.0,5000000
CryptoNight,PoW,978145.0,21000000
Scrypt,PoW/PoS,8377873.0,144000000
Scrypt,PoS,33813143821.8337,32514916898
Scrypt,PoW/PoS,3472983.0,13000000
Scrypt,PoW/PoS,3315789.0,3315789
Quark,PoS,10517772.7391666,15000000
QuBit,PoW/PoS,30227750.0,78835200
Scrypt,PoW,894026.0,2714286
CryptoNight,PoW,9357088.0,25000000
Lyra2RE,PoW,1876146.4435959999,9999999
Scrypt,PoW/PoS,23965372.0,500000000
SHA-256,PoW/PoS,2526078.47525448,21000000
X11,PoW/PoS,5659096.95728771,9354000
Scrypt,PoW/PoS,11821728.0,20000000
X11,PoW,536982074.0,100000000000
Scrypt,PoW/PoS,308179.0,21933333
CryptoNight-V7,PoW,10969318.522954,185000000
Scrypt,PoS,2922613.96424908,55000000
Scrypt,PoW/PoS ,110000000.0,110000000
Scrypt,PoW,3115258.0,3360000
X13,PoS,14524851.4827,14524851.4827
X11,PoW,30385540.0,1000000000
Equihash,PoW,6921653.89980891,17000000
Scrypt,PoW/PoS,1000000000.0,1000000000
Scrypt,PoW,99843408.3158479,100000000 
Lyra2RE,PoW,18545757.5,21000000
Scrypt,PoS,36050365.0,34426423
Dagger-Hashimoto,PoW,2232901.0,2232901
X11,PoW/PoS,13162749.085802699,100000000
Blake2S,PoW/PoS,12184195.9258495,36900000
X11,PoW/PoS,110630387.85047099,110000000
Scrypt,PoW,64096052.0,4000000000
PoS,PoS,111135836.889,110290030
X11,PoW/PoS,21521322.0099142,100000000
NIST5,PoW,10123200.0,48252000
PoS,PoS,401421401.0,400000000
X11,PoW/PoS,121665451.643876,500000000
Scrypt,PoW/PoS,5368934.0,21212121
Scrypt,PoW/PoS,1148324.0,28600000
Scrypt,PoW/PoS,500000.0,1000000000
SHA-256,PoS,100545745.0,75000000000
X11,PoW/PoS,17171382.0,40000000
Scrypt,PoW,20276099.146523997,35520400
Scrypt,PoS,295135466.361878,2000000000
SHA-256,PoW,1317747500.0,2500000000
PoS,PoS,11390225.974277198,30000000
Scrypt,PoW/PoS,21358764.0,105000000
X15,PoW/PoS,40659020000.0,90000000000
SHA-256,PoS,10343113.0,200084200
Scrypt,PoW,13673406.4325268,72000000
POS 3.0,PoS,100000000.0,100000000
CryptoNight-V7,PoW,69036016.8340164,105000000
536,PoW/PoS,22801882871.0,50000000000
Argon2d,PoW,19784224.6512734,0
Blake2b,PoW,133248297.0,340282367
Cloverhash,PoW,18407259.0885883,30000000
CryptoNight,PoW,1809467143.0,2000000000
NIST5,PoW/PoS,4171382.0,10000000
X11,PoW,35138975.0,100000000
NIST5,PoW/PoS,62942075.0,120000000
Skein,PoW/PoS,6804362.0,100000000
Scrypt,PoW,18133195.0,19276800
X13,PoW/PoS,21268092.0,30000000
Scrypt,PoW,5167775.0, 75000000
X11,PoW,26042364.373555303,60000000
X11,PoW,2622886.0,18900000
Scrypt,PoW/PoS,9044930943.24243,50000000000
CryptoNight,PoW,14161803.0,54000000
X13,PoW/PoS,21917018.0492836,18898187.6216583
Time Travel,PoW,17801865.1605478,21000000
Scrypt,PoW,163055097500.0,200000000000
Keccak,PoW,2241009149.22257,5000000000
SkunkHash v2 Raptor,PoS,107972766.0,137500000
X11,PoW,122475638.389743,1100000000
Skein,PoW/PoS,47331802.477423795,100000000
SHA-256,PoW,17995589.6469082,21000000
X11,PoW/PoS,12569262.535930699,9507271
Scrypt,PoS,18663297.348979898,17405891.19707116
VeChainThor Authority,Proof of Authority,55454734800.0,86712634466
Scrypt,PoW,485214.0,10500000000
PoS,PoS,4000000.0,61599965
Scrypt,PoW,143006669741.68698,0
Scrypt,PoW,9704042.0,20000000
Scrypt,PoW,17453749.4042601,84000000
Scrypt,PoW,32646731.063036,100000000
Scrypt,PoW,33716526.0,100000000
Scrypt,PoW/PoS,19539588.0,48252000
Scrypt,PoW/PoS,4200000.0,4200000
CryptoNight,PoW,8946653.0,88888888
SHA-512,PoS,25000000.0,91388946
Ouroboros,PoS,25927070538.0,45000000000
X11,PoW/PoS,7262402.04264803,27000000
Equihash,PoW,5211553258.01514,21000000000
NeoScrypt,PoW/PoS,182638400.0,400000000
X11,PoW,2702855668.85288,1800000000
Scrypt,PoW/PoS,1140734.91680375,15733333
NeoScrypt,PoW,4165967.57499639,27000000
Lyra2REv2,PoS,24000000.0,24000000
Equihash,PoW,17202361.088994,21000000
Scrypt,PoW/PoS,48459472454.0,25000000000
SHA-256,PoW/PoS,92050800.0,100000000
NIST5,PoW/PoS,560563220.0,1200000000
PHI1612,PoW/PoS,8305775.31777569,60000000
Dagger,PoW,33986980.0,156306732.71
Scrypt,PoW/PoS,2149688.0,21000000
Quark,PoW/PoS,30711550.5294042,200000000
Scrypt,PoW,99990001.493466,100000000
POS 2.0,PoS,12330806.30517,21000000
Scrypt,PoW/PoS,16362544.992,14788275.991
